TROCA DE TURNO 2026;;;;META  + ACUMULADO;SEP. TURNO A;SEP. TURNO B;SEP. TURNO C;SEP. TURNO D;FAT GM;FAT FM;FAT TRANSF.;FAT CACAU;FAT FOB;FAT GRANEL
;;;;1053423,99;2685420,144;2301731,58;103,835,00;11648187,41;37.991,03;82.732,00;0,00;1.750,50;0,00;26.150,00
;;;;;;;;;;;;;;
;;;;EQUIPAMENTO PARADO;;NF COM ERRO;CARRO EMBARCADO;;SEP GM;SEP FM;SEP TRANSF.;SEP CACAU;SEP FOB;
;;;;;;;;;43.796,62;82.732,00;0,00;1.246,00;0,00;
;;;;8,00;;0,00;8;;;;;;;
DATA;TURNO;RESP TURNO;PROGRAMAÇÃO;ROTA;MEDIDA;PLANEJADO;Executado;PERCENTUAL REALIZADO;PENDENCIAS;VOLUME FATURADO;TRANSPORTADFORA;FATURAMENTO;EMBARQUE;Coluna2
25/07/2026;;;GM;RJ;TONS;12.084,00;;;;;;PENDENTE;PENDENTE;RJ 02 - INICIAR DO ZERO
25/07/2026;B;THIAGO;FOB;FOB;TONS;7.659,00;7.659,00;100%;;7659;;REALIZADO;PENDENTE;LUZIA MEIRE 25/07 - OT GERADAS
25/07/2026;B;THIAGO;FOB;FOB;TONS;9.028,14;9.028,14;100%;;9.028,14;;REALIZADO;PENDENTE;LUZIA MEIRE
25/07/2026;A;TATIANE;FOB;FOB;TONS;9.028,14;9.028,14;100%;;9.028,14;;REALIZADO;PENDENTE;LUZIA MEIRE
25/07/2026;A;TATIANE;FOB;FOB;TONS;3.068,00;3.068,00;100%;;3.068,00;;REALIZADO;REALIZADO;SBB
25/07/2026;A;TATIANE;GRANEL;FM;TONS;26.000,00;26.000,00;100%;;25.750,00;;PENDENTE;REALIZADO;AGUARDANDO APONTAMENTO DE SALDO - PANDURATA
25/07/2026;A;TATIANE;FLOOR;FABRICA;PAL;67,00;67,00;100%;;;;;;
25/07/2026;B;THIAGO;GM;RJ;TONS;12.084,00;12.084,00;100%;;;;REALIZADO;PENDENTE;organização do stage para abrir espaço
25/07/2026;B;THIAGO;FOB;FOB;TONS;19.664,00;19.664,00;100%;;;;PENDENTE;PENDENTE;
25/07/2026;B;THIAGO;FLOOR / RECEB. CACAU;;PAL;113,00;113,00;100%;;;;;;
26/07/2026;C;ADIB;CONTAGENS PK1;PK1;PAL;199,00;199,00;100%;;;;;;CONTAGENS E AJUSTES PK1
26/07/2026;C;ADIB;FOB;FOB;TONS;22.453,00;22.453,00;100%;;;PROPRIO;PENDENTE;PENDENTE;COM LUZIA MEIRE - FALTA FATURAR ( PROGRAMAÇÃO 27/07 )
26/07/2026;C;ADIB;FOB;FOB;TONS;2.424,00;2.424,00;100%;;;PROPRIO;PENDENTE;PENDENTE;RFC - FALTA FATURAR ( PROGRAMAÇÃO 27/07 )
26/07/2026;C;ADIB;FOB;FOB;TONS;8,28;8,28;100%;;;PROPRIO;PENDENTE;PENDENTE;SEPARADO 17787874 ( FOB ) FATURAR DIA 28/07
26/07/2026;C;ADIB;GM;RJ;TONS;12.084,00;12.084,00;100%;;;OMEGA X;REALIZADO;PENDENTE;RJ CARRO 2 - FATURADO EMBARQUE 27/07
26/07/2026;C;ADIB;RECEB CACAU;BR15;PAL;26,00;26,00;100%;;;TIO CARLO;;;RECEBEMOS CARGA CACAU - JÁ ARMAZENADO
26/07/2026;C;ADIB;FM;FM;TONS;28,05;28,05;100%;;;EPEEDYLOG;REALIZADO;PENDENTE;PANDURATA - FATURADO - AGUARDANDO CARRO
26/07/2026;C;ADIB;FM;FM;TONS;6,96;6,96;100%;;;PROPRIO;REALIZADO;PENDENTE;BARION - SEPARADO E FATURADO
26/07/2026;C;ADIB;GRANEL;FABRICA;TONS;14,73;14,73;100%;;;PROPRIO;REALIZADO;REALIZADO;GRANEL PANDURATA - LIBERADO
26/07/2026;C;ADIB;GRANEL;FABRICA;TONS;9,43;9,43;100%;;;PROPRIO;REALIZADO;REALIZADO;FGRANEL MAGNUM - LIBERADO
26/07/2026;D;ADAO;FM;FM;TONS;23.738,00;23.738,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;
26/07/2026;D;ADAO;FM;FM;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;PENDENTE;PENDENTE;FM I.B.A.E - GERADA - FALTA SEPARAR
26/07/2026;D;ADAO;TRANSF;BR15;PAL;28,00;28,00;100%;;;D2;;;D2 IMPORTAÇÃO - FALTA RECEBER
26/07/2026;D;ADAO;FOB;FOB;TONS;10.977,00;10.977,00;100%;;;PROPRIO;PENDENTE;;
26/07/2026;D;ADAO;FOB;FOB;TONS;8.284,00;8.284,00;100%;;;PROPRIO;PENDENTE;;
26/07/2026;D;ADAO;FOB;FOB;TONS;10.977,00;10.977,00;100%;;;PROPRIO;PENDENTE;;
27/07/2026;C;ADIB;RECEB CACAU;BR15;PAL;24,00;24,00;100%;;;TIO CARLO;;;DESCARREGADO E ARMAZENADO 
27/07/2026;C;ADIB;GM;FOB;TONS;16,57;16,57;100%;;16570;PROPRIO;REALIZADO;REALIZADO;SEPARADO E CONFERIDO - FATURAR DIA 29/07
27/07/2026;C;ADIB;TRANSF MACEIO;FABRICA;TONS;21,96;21,96;100%;;;EPEEDYLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
27/07/2026;C;ADIB;FM;FM;TONS;19,42;19,42;100%;;;EPEEDYLOG;;;SEPARADO E FATURADO - AGUARDANDO CARRO
27/07/2026;D;ADAO;CACAU;BR15;;;;;;;;;;DELIVERY GERADAS - FALTA SEPARAR
27/07/2026;D;ADAO;FM;FM;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;
27/07/2026;D;ADAO;FM;FM;TONS;28.054,00;28.054,00;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;
27/07/2026;D;ADAO;FM;FM;TONS;19.832,00;19.832,00;100%;;;EPEEDYLOG;;;
27/07/2026;D;ADAO;CACAU BR15;CACAU BR15;TONS;30.983,00;21.501,00;69%;9.482,00;;;;;
27/07/2026;D;;GM;CROSS;TONS;13.845,00;9.227,00;67%;4.618,00;;;;;SEPARAÇÃO INICIADA FALTA FINALIZAR 
27/07/2026;D;ADAO;FLOOR;FABRICA ;PAL;105,00;105,00;100%;;;;;;
27/07/2026;D;ADAO;ABASTECIMENTO;PK1;PAL;25,00;25,00;100%;;;;;;
27/07/2026;D;ADAO;GRANEL;;TONS;36.470,00;36.470,00;100%;;;;;;
28/07/2026;A;TATIANE;GM;CROSS;TONS;13.845,00;6.800,00;49%;7.045,00;;;REALIZADO;PENDENTE;
28/07/2026;A;TATIANE;GM;GM;TONS;21.089,00;21.089,00;100%;;21.089,00;EPEEDYLOG;REALIZADO;PENDENTE;
28/07/2026;A;TATIANE;GRANEL;FM;TONS;10.000,00;;;;;;;;
28/07/2026;A;TATIANE;FM;FM;TONS;28.054,00;;;;;;;;
28/07/2026;A;TATIANE;FM;FM;TONS;28.054,00;;;;;;;;
28/07/2026;A;TATIANE;FM;FM;TONS;1.061,00;1.061,00;100%;;1061;EPEEDYLOG;REALIZADO;PENDENTE;
28/07/2026;A;TATIANE;FOB;FOB;TONS;11.823,00;11.823,00;100%;;25823;PROPRIO;REALIZADO;REALIZADO;
28/07/2026;A;TATIANE;GM;CO;TONS;23.363,00;;;;;;;;
28/07/2026;A;TATIANE;FM;FM ;TONS;19.422,00;;;;;EPEEDYLOG;;REALIZADO;
28/07/2026;A;TATIANE;GM;SP CAP / INT;TONS;6.632,00;6.632,00;100%;;;SMARTLOG;PENDENTE;PENDENTE;
28/07/2026;A;TATIANE;BR15;BR15;TONS;15.000,00;10.000,00;67%;5.000,00;1000;PROPRIO;PARCIAL;PARCIAL;
28/07/2026;A;TATIANE;FLOOR;FLOOR;PAL;60,00;60,00;100%;;;;;;
28/07/2026;A;TATIANE;FOB;FOB;TONS;20.334,00;20.334,00;100%;;20334;PROPRIO;REALIZADO;REALIZADO;
28/07/2026;A;TATIANE;GM;SUL;TONS;6.128,00;;;;;RENOVAÇÃO;;REALIZADO;
28/07/2026;B;THIAGO;GM;CANTINHO;TONS;28.480,00;28.480,00;100%;;28480;EPEEDYLOG;REALIZADO;REALIZADO;CONFERIDO
28/07/2026;B;THIAGO;GM;SUL;TONS;18.961,00;18.961,00;100%;;18961;RENOVAÇÃO;PENDENTE;PENDENTE;AGUARDANDO EMBARQUE
28/07/2026;B;THIAGO;GM;SP CAP / INT;TONS;650,00;650,00;100%;;;;;;
28/07/2026;B;THIAGO;GM;dispan;;16.570,00;16.570,00;100%;;;;;;CONFERIDO
28/07/2026;B;THIAGO;GM;nordeste;tons;2.422,00;2.422,00;100%;;;;;;EM CONFERENCIA
28/07/2026;B;THIAGO;GM;embaleme;TONS;6.900,00;6.900,00;100%;;3500;PROPRIO;PARCIAL;PARCIAL;
28/07/26;B;THIAGO;floor;;PAL;27,00;27,00;100%;;;;;;
